Original Cell Type Name,Standardized Celltype Name
Detroit562_squamous_cell_carcinoma_Head_and_neck,Detroit562_squamous_cell_carcinoma_Head_and_neck
DIPG007,DIPG007
DIPG012,DIPG012
DKO1_Colon_cancer_cell_Colon,DKO1_Colon_cancer_cell_Colon
DL23_Epithelium_Colon,DL23_Epithelium_Colon
DLD-1,DLD-1
DLD-1_Colorectal_cancer_cell_line,DLD-1
DLD-1_Epithelium_Colon,DLD-1
DMS53_Lung_Cancer_Cell_Lung,DMS53_Lung_Cancer_Cell_Lung
DN2_Thymocyte,DN2_Thymocyte
DND-41_Leukemia_Cell,DND-41
DND-41_T_Lymphocyte_Blood,DND-41
Dnd41,DND-41
Dnd41_TCell_Leukemia,DND-41
DOHH-2,DOHH-2
DU-528,DU-528_Blood
DU-528_Blood,DU-528_Blood
DU145_Epithelium_Prostate,DU145_Epithelium_Prostate
DUCaP_Epithelium_Prostate,DUCaP_Epithelium_Prostate
Duodenum_Mucosa,Duodenum_Mucosa
Duodenum_Smooth_Muscle,Duodenum_Smooth_Muscle
dura,Dura
EBC-1,EBC-1_Neuroblastoma_cell
EBC-1_Neuroblastoma_cell,EBC-1_Neuroblastoma_cell
ECC-1,ECC-1_Epithelium_Endometrium
ECC-1_Epithelium_Endometrium,ECC-1_Epithelium_Endometrium
Edom-iPS-2_iPSC,Edom-iPS-2_iPSC
EEC16_Epithelium_Endometrium,EEC16_Epithelium_Endometrium
EJ_Urinary_Bladder,EJ_Urinary_Bladder
EL,EL
Elf1_Embryonic_Stem_Cell_Embryo,Elf1_Embryonic_Stem_Cell_Embryo
embryonic_facial_prominence,Embryonic_Facial_Prominence 
Embryonic_Fibroblast,Embryonic_Fibroblast
Embryonic_Fibroblast_Foreskin,Embryonic_Fibroblast_Foreskin
Embryonic_Fibroblast_Heart,Embryonic_Fibroblast_Heart
Embryonic_Kidney,Embryonic_Kidney
Embryonic_Stem_Cell,Embryonic_Stem_Cell
Embryonic_Stem_Cell_Embryo,Embryonic_Stem_Cell_Embryo
Embryonic_Stem_Cell_epithelioid_sarcoma,Embryonic_Stem_Cell_Epithelioid_Sarcoma
endocrine_Pancreas,Endocrine_Pancreas
Endoderm,Endoderm
Endoderm_Cell_Embryo,Endoderm_Cell_Embryo
Endoderm_Cell_Endoderm,Endoderm
endometrioid_adenocarcinoma,Endometrioid_Adenocarcinoma
Endothelial_Cell,Endothelial_Cell
Endothelial_Cell_Artery,Endothelial_Cell_Artery
Endothelial_Cell_Blood,Endothelial_Cell_Blood
Endothelial_Cell_Kidney,Endothelial_Cell_Kidney
